iso_code,continent,location,last_updated_date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality
PRY,South America,Paraguay,2021-09-17,459524.0,0.0,55.857,16120.0,0.0,13.143,63649.148,0.0,7.737,2232.798,0.0,1.82,0.87,,,,,,,,,2232.0,1809486.0,250.634,0.309,2220.0,0.307,0.025,39.7,tests performed,4401222.0,2550991.0,1850231.0,,1.0,18596.0,60.96,35.33,25.63,,2576.0,49.07,7219641.0,17.144,26.5,6.378,3.833,8827.01,1.7,199.128,8.27,5.0,21.6,79.602,1.3,74.25,0.728,
PER,South America,Peru,2021-09-17,2164380.0,0.0,724.857,198891.0,0.0,31.143,64880.634,0.0,21.729,5962.065,0.0,0.934,0.93,,,,,,,,,,,,,,,,,,21271177.0,12354190.0,8916987.0,,22384.0,110510.0,63.76,37.03,26.73,,3313.0,64.81,33359415.0,25.129,29.1,7.151,4.455,12236.706,3.5,85.755,5.95,4.8,,,1.6,76.74,0.777,
PHL,Asia,Philippines,2021-09-17,2324475.0,20283.0,20672.143,36328.0,310.0,204.143,20932.37,182.653,186.157,327.141,2.792,1.838,1.09,,,,,,,,,69289.0,18837782.0,169.638,0.624,71702.0,0.646,0.297,3.4,people tested,40518845.0,,17977462.0,,488457.0,398676.0,36.49,,16.19,,3590.0,74.54,111046910.0,351.873,25.2,4.803,2.661,7599.188,,370.437,7.07,7.8,40.8,78.463,1.0,71.23,0.718,
PCN,Oceania,Pitcairn,2021-09-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.0,47.0,47.0,,,0.0,200.0,100.0,100.0,,0.0,,47.0,,,,,,,,,,,,,,,
POL,Europe,Poland,2021-09-17,2896599.0,652.0,565.286,75473.0,9.0,8.0,76635.685,17.25,14.956,1996.799,0.238,0.212,1.32,,,675.0,17.859,,,10.953,0.29,40596.0,19961353.0,528.12,1.074,37441.0,0.991,0.015,68.4,people tested,36878694.0,19601546.0,19191249.0,,37503.0,31613.0,97.57,51.86,50.77,,836.0,38.89,37797000.0,124.027,41.8,16.763,10.202,27216.445,,227.331,5.91,23.3,33.1,,6.62,78.73,0.88,
PRT,Europe,Portugal,2021-09-17,1060432.0,1023.0,997.429,17895.0,7.0,7.429,104291.899,100.611,98.096,1759.946,0.688,0.731,0.76,120.0,11.802,569.0,55.96,,,73.08,7.187,61620.0,17806549.0,1751.247,6.06,54623.0,5.372,0.02,50.1,tests performed,15550992.0,8846756.0,8319395.0,,55441.0,54982.0,152.94,87.01,81.82,,5407.0,52.78,10167923.0,112.371,46.2,21.502,14.924,27936.896,0.5,127.842,9.85,16.3,30.0,,3.39,82.05,0.864,
QAT,Asia,Qatar,2021-09-17,235304.0,117.0,134.571,604.0,0.0,0.0,80294.173,39.925,45.921,206.106,0.0,0.0,0.79,,,,,,,,,5671.0,2584515.0,881.929,1.935,5246.0,1.79,0.026,38.2,people tested,4633897.0,2360308.0,2218292.0,,9718.0,10341.0,158.13,80.54,75.7,,3529.0,50.0,2930524.0,227.322,31.9,1.307,0.617,116935.6,,176.69,16.52,0.8,26.9,,1.2,80.23,0.848,
ROU,Europe,Romania,2021-09-17,1139505.0,4478.0,3372.0,35359.0,73.0,63.571,59573.326,234.11,176.288,1848.569,3.816,3.324,1.57,,,,,,,14691.566,768.075,,9335522.0,488.061,,13557.0,0.709,0.225,4.4,tests performed,9912393.0,5347116.0,5237170.0,,11173.0,8870.0,51.82,27.95,27.38,,464.0,,19127772.0,85.129,43.0,17.85,11.69,23313.199,5.7,370.946,9.74,22.9,37.1,,6.892,76.05,0.828,
RUS,Europe,Russia,2021-09-17,7130245.0,19589.0,18515.571,193111.0,771.0,763.286,48866.741,134.252,126.895,1323.476,5.284,5.231,0.99,,,,,,,,,,185649676.0,1272.34,,420297.0,2.88,0.044,23.0,tests performed,87267626.0,46745074.0,40522552.0,,311372.0,335976.0,59.81,32.04,27.77,,2303.0,52.31,145912022.0,8.823,39.6,14.178,9.393,24765.954,0.1,431.297,6.18,23.4,58.3,,8.05,72.58,0.824,
RWA,Africa,Rwanda,2021-09-17,94893.0,415.0,409.714,1199.0,6.0,5.857,7147.432,31.258,30.86,90.31,0.452,0.441,0.99,,,,,,,,,14495.0,2644414.0,199.18,1.092,12229.0,0.921,0.035,28.5,samples tested,2882134.0,1827371.0,1054763.0,,,39280.0,21.71,13.76,7.94,,2959.0,,13276517.0,494.869,20.3,2.974,1.642,1854.211,56.0,191.375,4.28,4.7,21.0,4.617,,69.02,0.543,
