iso_code,continent,location,last_updated_date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality
THA,Asia,Thailand,2021-09-17,1448792.0,14555.0,13691.286,15124.0,171.0,172.0,20711.573,208.075,195.727,216.209,2.445,2.459,0.9,,,,,,,,,41354.0,12894770.0,184.34,0.591,50234.0,0.718,0.293,3.4,tests performed,43342103.0,28436015.0,14285995.0,620093.0,864589.0,638392.0,61.96,40.65,20.42,0.89,9126.0,55.09,69950844.0,135.132,40.1,11.373,6.89,16277.671,0.1,109.861,7.04,1.9,38.8,90.67,2.1,77.15,0.777,
TLS,Asia,Timor,2021-09-17,18943.0,87.0,90.714,103.0,1.0,2.143,14095.805,64.738,67.502,76.644,0.744,1.595,0.79,,,,,,,,,,194367.0,144.632,,809.0,0.602,0.164,6.1,tests performed,643324.0,408918.0,234406.0,,,3980.0,47.87,30.43,17.44,,2962.0,54.63,1343875.0,87.176,18.0,3.556,1.897,6570.102,30.3,335.346,6.86,6.3,78.1,28.178,5.9,69.5,0.606,
TGO,Africa,Togo,2021-09-17,24369.0,276.0,131.286,211.0,2.0,1.0,2874.299,32.554,15.485,24.887,0.236,0.118,1.08,,,,,,,,,1836.0,491349.0,57.954,0.217,1759.0,0.207,0.087,11.5,tests performed,651941.0,414249.0,237692.0,,,7276.0,7.69,4.89,2.8,,858.0,50.93,8478242.0,143.366,19.4,2.839,1.525,1429.813,49.2,280.033,6.15,0.9,14.2,10.475,0.7,61.04,0.515,
TTO,North America,Trinidad and Tobago,2021-09-17,48143.0,218.0,201.143,1405.0,8.0,6.571,34305.182,155.34,143.328,1001.159,5.701,4.683,0.96,,,,,,,,,5319.0,331651.0,236.324,3.79,1364.0,0.972,0.143,7.0,people tested,1014945.0,555534.0,459411.0,,5072.0,6301.0,72.32,39.59,32.74,,4490.0,83.33,1403374.0,266.886,36.2,10.014,5.819,28763.071,,228.467,10.97,,,89.443,3.0,73.51,0.796,
TUN,Africa,Tunisia,2021-09-17,698427.0,1006.0,2394.714,24415.0,32.0,47.0,58515.483,84.285,200.634,2045.533,2.681,3.938,1.32,,,,,,,,,9547.0,2830291.0,237.127,0.8,17362.0,1.455,0.143,7.0,people tested,7017171.0,4610453.0,3128815.0,,56532.0,98621.0,58.79,38.63,26.21,,8263.0,41.67,11935764.0,74.228,32.7,8.001,5.075,10849.297,2.0,318.991,8.52,1.1,65.8,78.687,2.3,76.7,0.74,
TUR,Asia,Turkey,2021-09-17,6794670.0,27692.0,25817.714,61140.0,237.0,250.857,79897.124,325.625,303.585,718.933,2.787,2.95,1.1,,,,,,,,,343142.0,81382545.0,956.961,4.035,325888.0,3.832,0.077,12.9,tests performed,104593216.0,52497989.0,41739242.0,10355985.0,572278.0,506364.0,122.99,61.73,49.08,12.18,5954.0,,85042736.0,104.914,31.6,8.153,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,,2.81,77.69,0.82,
TCA,North America,Turks and Caicos Islands,2021-09-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51838.0,27220.0,24618.0,,,138.0,132.15,69.39,62.76,,3518.0,,39226.0,37.312,,,,,,,,,,,,80.22,,
UGA,Africa,Uganda,2021-09-17,121984.0,200.0,116.857,3119.0,4.0,4.857,2588.6,4.244,2.48,66.188,0.085,0.103,0.33,,,,,,,,,3374.0,1635630.0,34.709,0.072,3643.0,0.077,0.035,28.2,samples tested,,,,,,,,,,,,81.48,47123533.0,213.759,16.4,2.168,1.308,1697.707,41.6,213.333,2.5,3.4,16.7,21.222,0.5,63.37,0.544,
UKR,Europe,Ukraine,2021-09-17,2442344.0,6940.0,4257.286,58265.0,119.0,88.143,56188.695,159.662,97.943,1340.448,2.738,2.028,1.26,,,,,,,,,35171.0,12412498.0,285.563,0.809,27924.0,0.642,0.142,7.1,tests performed,11362214.0,6248153.0,5114061.0,,132559.0,110123.0,26.14,14.37,11.77,,2533.0,50.93,43466822.0,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,,8.8,72.06,0.779,
ARE,Asia,United Arab Emirates,2021-09-17,731828.0,521.0,612.429,2071.0,2.0,1.571,73248.115,52.146,61.298,207.285,0.2,0.157,0.8,,,,,,,,,275823.0,79589959.0,7966.099,27.607,313989.0,31.427,0.002,487.3,tests performed,19330107.0,9059751.0,7971790.0,,82943.0,75566.0,193.47,90.68,79.79,,7563.0,,9991083.0,112.442,34.0,1.144,0.526,67293.483,,317.84,17.26,1.2,37.4,,1.2,77.97,0.89,
GBR,Europe,United Kingdom,2021-09-17,7406017.0,32566.0,29115.0,135314.0,180.0,143.0,108581.298,477.458,426.862,1983.869,2.639,2.097,0.89,1081.0,15.849,8339.0,122.26,,,6782.0,99.432,1063453.0,259880899.0,3810.173,15.592,1012527.0,14.845,0.031,32.3,tests performed,92826977.0,48528901.0,44298076.0,,87832.0,93004.0,136.1,71.15,64.95,,1364.0,41.2,68207114.0,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20.0,24.7,,2.54,81.32,0.932,
USA,North America,United States,2021-09-17,41993789.0,207886.0,148023.143,672635.0,2635.0,1949.0,126139.644,624.442,444.627,2020.44,7.915,5.854,1.03,24893.0,74.773,89181.0,267.879,,,81187.0,243.867,382262.0,551079079.0,1655.314,1.148,1210978.0,3.637,0.142,7.0,tests performed,383994877.0,211097597.0,180572171.0,,956474.0,775023.0,114.17,62.77,53.69,,2304.0,61.57,332915074.0,35.608,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,,2.77,78.86,0.926,
URY,South America,Uruguay,2021-09-17,387449.0,150.0,148.429,6046.0,0.0,1.286,111171.335,43.04,42.589,1734.788,0.0,0.369,1.14,,,,,,,,,10352.0,3472637.0,996.409,2.97,8302.0,2.382,0.018,55.8,tests performed,6015778.0,2716871.0,2558759.0,740148.0,32506.0,14047.0,172.61,77.96,73.42,21.24,4031.0,52.78,3485152.0,19.751,35.6,14.655,10.361,20551.409,0.1,160.708,6.93,14.0,19.9,,2.8,77.91,0.817,
UZB,Asia,Uzbekistan,2021-09-17,167268.0,624.0,594.286,1179.0,4.0,5.286,4928.959,18.388,17.512,34.742,0.118,0.156,0.89,,,,,,,,,,,,,,,,,,17435318.0,9787973.0,3345225.0,,281054.0,208168.0,51.38,28.84,9.86,,6134.0,59.26,33935765.0,76.134,28.2,4.469,2.873,6253.104,,724.417,7.57,1.3,24.7,,4.0,71.72,0.72,
VUT,Oceania,Vanuatu,2021-09-17,4.0,0.0,0.0,1.0,0.0,0.0,12.72,0.0,0.0,3.18,0.0,0.0,,,,,,,,,,,,,,,,,,,50620.0,39347.0,11273.0,,,994.0,16.1,12.51,3.58,,3161.0,22.22,314464.0,22.662,23.1,4.394,2.62,2921.909,13.2,546.3,12.02,2.8,34.5,25.209,,70.47,0.609,
VAT,Europe,Vatican,2021-09-17,27.0,0.0,0.0,,,0.0,33251.232,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,812.0,,,,,,,,,,,,,75.12,,
VEN,South America,Venezuela,2021-09-17,353401.0,2606.0,1120.143,4275.0,30.0,13.714,12311.502,90.786,39.023,148.929,1.045,0.478,1.03,,,,,,,,,,,,,,,,,,11094206.0,6822809.0,4271397.0,,,125099.0,38.65,23.77,14.88,,4358.0,,28704947.0,36.253,29.0,6.614,3.915,16745.022,,204.85,6.47,,,,0.8,72.06,0.711,
VNM,Asia,Vietnam,2021-09-17,667650.0,11521.0,11176.143,16637.0,212.0,270.286,6801.039,117.359,113.846,169.473,2.16,2.753,1.0,,,,,,,,,209988.0,18407857.0,187.512,2.139,259000.0,2.638,0.046,21.6,samples tested,32296517.0,26307653.0,5988864.0,,1041661.0,1245514.0,32.9,26.8,6.1,,12687.0,72.69,98168829.0,308.127,32.6,7.15,4.718,6171.884,2.0,245.465,6.0,1.0,45.9,85.847,2.6,75.4,0.704,
WLF,Oceania,Wallis and Futuna,2021-09-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9902.0,4952.0,4950.0,,,7.0,89.26,44.64,44.62,,631.0,,11094.0,,,,,,,,,,,,,79.94,,
OWID_WRL,,World,2021-09-17,227613687.0,557437.0,524549.143,4678856.0,8600.0,8858.571,28903.451,70.786,66.61,594.143,1.092,1.125,0.94,,,,,,,,,,,,,,,,,,5875370940.0,3374824365.0,2459295920.0,21048874.0,12743319.0,28558103.0,74.61,42.86,31.23,0.27,3626.0,,7874965732.0,58.045,30.9,8.696,5.355,15469.207,10.0,233.07,8.51,6.434,34.635,60.13,2.705,72.58,0.737,
YEM,Asia,Yemen,2021-09-17,8593.0,36.0,41.0,1628.0,9.0,9.571,281.824,1.181,1.345,53.393,0.295,0.314,1.17,,,,,,,,,,,,,,,,,,322934.0,308025.0,14909.0,,,244.0,1.06,1.01,0.05,,8.0,,30490639.0,53.508,20.3,2.922,1.583,1479.147,18.8,495.003,5.35,7.6,29.2,49.542,0.7,66.12,0.47,
ZMB,Africa,Zambia,2021-09-17,208353.0,86.0,93.857,3637.0,1.0,1.571,11011.933,4.545,4.961,192.224,0.053,0.083,0.7,,,,,,,,,6888.0,2375797.0,125.566,0.364,6122.0,0.324,0.016,60.6,tests performed,636600.0,311049.0,291947.0,,,3734.0,3.36,1.64,1.54,,197.0,43.52,18920657.0,22.995,17.7,2.48,1.542,3689.251,57.5,234.499,3.94,3.1,24.7,13.938,2.0,63.89,0.584,
ZWE,Africa,Zimbabwe,2021-09-17,127632.0,264.0,209.857,4562.0,2.0,4.286,8456.835,17.493,13.905,302.276,0.133,0.284,0.91,,,,,,,,,6482.0,1200458.0,79.542,0.429,3899.0,0.258,0.042,23.7,tests performed,4964302.0,2930550.0,2033752.0,,108486.0,51755.0,32.89,19.42,13.48,,3429.0,65.74,15092171.0,42.729,19.6,2.822,1.882,1899.775,21.4,307.846,1.82,1.6,30.7,36.791,1.7,61.49,0.571,
